,,,,,,,,,,,,
Year,Month,Product Name,Country Name,Volume (kg),Value (USD),Census Country Code,Edible code,FAO Country Code,HTS Number,US Customs District Code,US Customs District Name,Month number
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"255,580","200,669",1220,E,124,0001101595,01,"PORTLAND, ME",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"1,406","1,075",1220,E,124,0001101595,04,"BOSTON, MA",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"1,198","1,703",1220,E,124,0001101595,07,"OGDENSBURG, NY",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"4,536","3,700",1220,E,124,0001101595,30,"SEATTLE, WA",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",PORTUGAL,900,"1,012",4710,E,620,0001101595,10,"NEW YORK, NY",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",IRAN,"81,231","63,361",5070,E,364,0001101595,10,"NEW YORK, NY",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",SOUTH KOREA,914,"1,290",5800,E,410,0001101595,28,"SAN FRANCISCO, CA",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,"15,876","10,644",5880,E,392,0001101595,04,"BOSTON, MA",01
1972,January,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,"13,152","14,063",5880,E,392,0001101595,27,"LOS ANGELES, CA",01
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"353,583","233,037",1220,E,124,0001101595,01,"PORTLAND, ME",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,725,959,1220,E,124,0001101595,04,"BOSTON, MA",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,687,995,1220,E,124,0001101595,07,"OGDENSBURG, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"3,064","2,439",1220,E,124,0001101595,09,"BUFFALO, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"43,949","9,376",1220,E,124,0001101595,30,"SEATTLE, WA",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"1,305","6,406",1220,E,124,0001101595,34,"PEMBINA, ND",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",DENMARK,"34,311","14,740",4099,E,208,0001101595,04,"BOSTON, MA",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",NETHERLANDS,459,273,4210,E,528,0001101595,13,"BALTIMORE, MD",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",BELGIUM,"8,546","11,492",4231,E,056,0001101595,10,"NEW YORK, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",SPAIN,"6,266","4,386",4700,E,724,0001101595,10,"NEW YORK, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",SPAIN,"1,016",672,4700,E,724,0001101595,49,"SAN JUAN, PR",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",IRAN,"62,789","48,977",5070,E,364,0001101595,10,"NEW YORK, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,"13,835","8,897",5880,E,392,0001101595,04,"BOSTON, MA",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,91,843,5880,E,392,0001101595,10,"NEW YORK, NY",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,168,"1,172",5880,E,392,0001101595,28,"SAN FRANCISCO, CA",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",JAPAN,"6,804","5,550",5880,E,392,0001101595,52,"MIAMI, FL",02
1972,February,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",NEW ZEALAND,"1,588","1,575",6141,E,554,0001101595,10,"NEW YORK, NY",02
1972,March,"GROUNDFISH COD,CUSK,EELS,HADDOCK,HAKE,POLLOCK,SHAD FRESH/FROZEN",CANADA,"321,209","227,459",1220,E,124,0001101595,01,"PORTLAND, ME",03
